,subj_id,ses_id,structural,GNG1,GNG2,HARIRI,rest,SVC1,SVC2,note
0,10038,54799,ok,ok,ok,ok,ok,ok,ok,
1,10066,54795,ok,ok,ok,ok,ok,ok,ok,
2,10074,55044,ok,ok,ok,ok,ok,ok,ok,
3,10076,54694,ok,ok,ok,ok,ok,ok,ok,
4,10182,54930,ok,ok,ok,ok,ok,ok,ok,
5,10255,55298,ok,ok,ok,ok,ok,ok,ok,
6,10266,55355,ok,ok,ok,ok,ok,ok,ok,
7,10294,55350,ok,ok,ok,ok,ok,ok,ok,
8,10299,55310,ok,ok,ok,ok,ok,ok,ok,
9,10299,56866,ok,ok,ok,ok,ok,ok,ok,
10,10306,55386,ok,ok,ok,ok,ok,ok,ok,
11,10316,55276,ok,ok,ok,ok,ok,ok,ok,
12,10323,55331,ok,ok,ok,ok,ok,ok,ok,
13,10325,56925,ok,ok,ok,ok,ok,ok,ok,
14,10362,55417,ok,ok,ok,ok,ok,ok,ok,
15,10371,55444,ok,ok,ok,ok,ok,ok,ok,
16,10389,55485,ok,ok,ok,ok,ok,ok,ok,
17,10405,55632,ok,ok,ok,ok,ok,ok,ok,
18,10414,56262,ok,ok,ok,ok,ok,ok,ok,
19,10418,55566,ok,ok,ok,ok,ok,ok,ok,
20,10430,55578,ok,ok,ok,ok,ok,ok,ok,
21,10435,56230,ok,ok,ok,ok,ok,ok,ok,
22,10436,55596,ok,ok,ok,ok,ok,ok,ok,
23,10450,55621,ok,ok,ok,ok,ok,ok,ok,
24,10467,56264,ok,ok,ok,ok,ok,ok,ok,
25,10468,56288,ok,ok,ok,ok,ok,ok,ok,
26,10469,56272,ok,ok,ok,ok,ok,ok,ok,
27,10470,56232,ok,ok,ok,ok,ok,ok,ok,
28,10471,56254,ok,ok,ok,ok,ok,ok,ok,
29,10472,56403,ok,ok,ok,ok,ok,ok,ok,
30,10473,56226,ok,ok,ok,ok,ok,ok,ok,
31,10476,56251,ok,ok,ok,ok,ok,ok,ok,
32,10477,56601,ok,ok,ok,ok,ok,ok,ok,
33,10478,56238,ok,ok,ok,ok,ok,ok,ok,
34,10479,56605,ok,ok,ok,ok,ok,ok,ok,
35,10480,56470,ok,NO_BIDS,NO_BIDS,ok,ok,ok,ok,
36,10481,56577,ok,ok,ok,ok,ok,ok,ok,
37,7310,52930,ok,ok,ok,ok,ok,ok,ok,
38,7310,56301,ok,ok,ok,ok,ok,ok,ok,
39,7397,51327,ok,ok,ok,ok,ok,ok,ok,
40,7397,54163,ok,ok,ok,ok,ok,ok,ok,
41,7957,49196,ok,ok,ok,ok,ok,ok,ok,
42,7957,51102,ok,ok,ok,ok,ok,ok,ok,
43,7957,53259,ok,ok,ok,ok,ok,ok,ok,
44,7961,49215,ok,ok,ok,NO_BIDS,NO_BIDS,ok,ok,
45,7961,51372,ok,ok,ok,ok,ok,ok,ok,
46,7961,53587,ok,ok,ok,ok,ok,ok,ok,
47,7968,49226,ok,ok,ok,ok,ok,ok,ok,
48,7979,49286,ok,ok,ok,ok,ok,ok,ok,
49,7979,51331,ok,ok,ok,ok,ok,ok,ok,
50,7979,54114,ok,ok,ok,ok,ok,ok,ok,
51,8002,51318,ok,ok,ok,ok,ok,ok,ok,
52,8002,53555,ok,ok,ok,ok,ok,ok,ok,
53,8009,51623,ok,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,"Fieldmap issue, no salvageable fMRI data"
54,8009,56303,ok,ok,ok,ok,ok,ok,ok,
55,8052,49753,ok,ok,ok,ok,ok,ok,ok,
56,8052,51551,ok,ok,ok,ok,ok,ok,ok,
57,8052,53948,ok,ok,ok,ok,ok,ok,ok,
58,8058,49519,ok,ok,ok,ok,ok,ok,ok,
59,8058,51346,ok,ok,ok,ok,ok,ok,ok,
60,8058,53739,ok,ok,ok,ok,ok,ok,ok,
61,8060,49510,ok,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,"Fieldmap issue, no salvageable fMRI data"
62,8060,51365,ok,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,"Fieldmap issue, no salvageable fMRI data"
63,8124,49872,ok,ok,ok,ok,ok,NO_BIDS,NO_BIDS,
64,8124,52188,ok,ok,ok,ok,ok,ok,ok,
65,8124,53972,ok,ok,ok,ok,ok,ok,ok,
66,8150,49876,ok,ok,ok,ok,ok,ok,ok,
67,8150,51972,ok,ok,ok,ok,ok,ok,ok,
68,8150,56305,ok,ok,ok,ok,ok,ok,ok,
69,8225,50359,ok,ok,ok,ok,ok,ok,ok,
70,8311,50352,ok,ok,ok,ok,ok,ok,ok,
71,8311,52231,ok,ok,ok,ok,ok,ok,ok,
72,8311,54485,ok,ok,ok,ok,ok,ok,ok,
73,8322,50540,ok,ok,ok,ok,ok,ok,ok,
74,8334,50395,ok,ok,ok,ok,ok,ok,ok,
75,8334,52670,ok,ok,ok,ok,ok,ok,ok,
76,8334,56592,ok,ok,ok,ok,ok,ok,ok,
77,8352,50467,ok,ok,ok,ok,ok,ok,ok,
78,8352,52716,ok,ok,ok,ok,ok,ok,ok,
79,8352,55133,ok,ok,ok,ok,ok,ok,ok,
80,8359,50852,ok,ok,ok,ok,ok,ok,ok,
81,8359,52959,ok,ok,ok,ok,ok,ok,ok,
82,8423,50702,ok,ok,ok,ok,ok,ok,ok,
83,8444,50976,ok,ok,ok,ok,ok,ok,ok,
84,8444,53352,ok,ok,ok,ok,ok,ok,ok,
85,8444,56348,ok,NO_BIDS,NO_BIDS,NO_BIDS,ok,ok,ok,
86,8445,50840,ok,ok,ok,ok,ok,ok,ok,
87,8445,50953,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,SPLIT SESSION: Merged with 50840 (processed)
88,8445,52922,ok,ok,ok,ok,ok,ok,ok,
89,8445,55023,ok,ok,ok,ok,ok,ok,ok,
90,8446,53543,ok,ok,ok,ok,ok,ok,ok,
91,8496,51389,ok,ok,ok,ok,ok,ok,ok,
92,8512,51713,ok,ok,ok,ok,ok,ok,ok,
93,8512,51875,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,SPLIT SESSION: Merged with 51713 (processed)
94,8512,53826,ok,ok,ok,ok,ok,ok,ok,
95,8512,56475,ok,ok,ok,ok,ok,ok,ok,
96,8529,51298,ok,ok,ok,ok,ok,ok,ok,
97,8529,53508,ok,ok,ok,ok,ok,ok,ok,
98,8562,51257,ok,ok,ok,ok,ok,ok,ok,
99,8578,51325,ok,ok,ok,ok,ok,ok,ok,
100,8582,51312,ok,ok,ok,ok,ok,ok,ok,
101,8582,53446,ok,ok,ok,ok,ok,ok,ok,
102,8582,56339,ok,ok,ok,ok,ok,ok,ok,
103,8585,51250,ok,ok,ok,ok,ok,ok,ok,
104,8585,53561,ok,ok,ok,ok,ok,ok,ok,
105,8585,56324,ok,ok,ok,ok,ok,ok,ok,
106,8606,51375,ok,ok,ok,ok,ok,ok,ok,
107,8717,51822,ok,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,NO_HCP,"Fieldmap issue, no salvageable fMRI data"
108,8797,51573,ok,ok,ok,ok,ok,ok,ok,
109,8797,53935,ok,ok,ok,ok,ok,ok,ok,
110,8797,56762,ok,ok,ok,ok,ok,ok,ok,
111,8798,51686,ok,ok,ok,ok,ok,ok,ok,
112,8798,51926,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,SPLIT SESSION: Merged with 51686 (processed)
113,8808,51939,ok,ok,ok,ok,ok,ok,ok,
114,8871,51756,ok,ok,ok,ok,ok,ok,ok,
115,8871,54018,ok,ok,ok,ok,ok,ok,ok,
116,8909,51974,ok,ok,ok,ok,ok,ok,ok,
